numCinema;nomCinema;ancienneRegion;nouvelleRegion;adresseCinema;numCommune;nomCommune;populationCommune;numDepartement;numUniteUrbaine;nomUniteUrbaine;populationUniteUrbaine;situationGeographique;nbEcrans;nbFauteuils;nbSemainesActivite;nbSeances;nbEntrees2020;nbEntrees2019;evolutionEntrees;trancheEntrees;proprietaireCinema;programmateurCinema;AE;categorieAE;labelAE;genre;multiplexe;zoneCommune;nbFilmsProgrammes;nbFilmsInedits;nbFilmsSemaine1;PdMentreesFilmsFR;PdMentreesFilmsUSA;PdMentreesFilmsEUR;PdMentreesFilmsAutres;nbFilmsAE;PdMentreesFilmsAE;latitude;longitude;geolocalisation
57473;STUDIO REPUBLIQUE;Centre;Centre - Val-de-Loire;42 RUE DE LA REPUBLIQUE;36018;Le Blanc;6572;36;36201;Le Blanc;6572;06-autres communes et unités urbaines;2;253;26;619;9599;53911;-0,821947283;De 5 à 10 000 entrées;GIRAUDET COSSET ANNIE;;OUI;E;RDJPPR;FIXE;NON;I;91;73;8;53,82933964;27,29678204;10,77145581;8,102422509;43;57,42859021;46.631877;1.067624;46.631877, 1.067624
80572;CENTRE CULTUREL;Centre;Centre - Val-de-Loire;RUE DES PONTS;36031;Buzançais;4473;36;36109;Buzançais;4473;06-autres communes et unités urbaines;1;210;26;160;2699;50804;-0,946874262;De 2 à 5 000 entrées;CINE-OFF;;OUI;E;;FIXE;NON;I;73;51;0;35,62384994;53,36848755;8,134904287;2,872758232;43;12,81480871;46.888094;1.419282;46.888094, 1.419282
19464;CITE INTERN DE LA BANDE DESSINEE ET DE L'IMAGE;Poitou-Charentes;Nouvelle Aquitaine;121 ROUTE DE BORDEAUX;16015;Angoulême;42081;16;16601;Angoulême;109054;04-Unités urbaines de 100 000 hbts ou plus;2;294;31;1442;19882;7658;1,596239227;De 10 à 20 000 entrées;CITE INTERNATIONALE DE LA BANDE DESSINEE ET DE L IMAGE;;OUI;C;RDJPPR;FIXE;NON;C;142;75;50;54,89124518;34,26810947;8,140826058;2,699819286;122;35,93154652;45.653155;0.150537;45.653155, 0.150537
19491;MEGA CGR;Poitou-Charentes;Nouvelle Aquitaine;30 RUE SAINT- ROCH;16015;Angoulême;42081;16;16601;Angoulême;109054;04-Unités urbaines de 100 000 hbts ou plus;11;1876;31;10949;73336;11083;5,616980962;De 50 à 80 000 entrées;RAYCHAMOND;SARL LES FILMS DE LA ROCHELLE;NON;NON;;FIXE;OUI;C;177;131;116;61,7732944;28,05946376;3,636846297;6,53039554;51;62,38385984;45.650367;0.164018;45.650367, 0.164018
19507;CGR EPERON ANGOULEME;Poitou-Charentes;Nouvelle Aquitaine;30 RUE SAINT-ROCH;16015;Angoulême;42081;16;16601;Angoulême;109054;04-Unités urbaines de 100 000 hbts ou plus;1;172;13;293;2806;12091;-0,767926557;De 2 à 5 000 entrées;RAYCHAMOND;;NON;NON;;FIXE;NON;C;14;9;6;30,21281537;57,88492568;9,46453892;2,437720027;1;12,74936437;45.650091;0.162338;45.650091, 0.162338
38772;LE CLUB;Poitou-Charentes;Nouvelle Aquitaine;32 BD CHANZY;16028;Barbezieux-Saint-Hilaire;4687;16;16107;Barbezieux-Saint-Hilaire;4687;06-autres communes et unités urbaines;2;239;31;819;12146;20454;-0,40617972;De 10 à 20 000 entrées;LES BONIMENTEURS;SNC SAGEC - CINE 32 VEO;OUI;E;RDJP;FIXE;NON;I;149;97;17;41,96510906;42,89666334;10,44658148;4,691646122;69;37,06456894;45.471503;-0.152462;45.471503, -0.152462
25722;CIRCUIT 1;Centre;Centre - Val-de-Loire;PLACE DE L'EGLISE;45008;Artenay;1832;45;00000;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;1;100;26;447;8573;15338;-0,441061416;De 5 à 10 000 entrées;AGENCE POUR DEVELOPPEMENT ACTIVITES TOURISTIQUES ET CULTURELLES;;OUI;E;JPPR;ITINERANT;NON;R;51;29;0;64,4610903;19,95422389;9,800249688;5,784436122;25;60,42446941;48.083036;1.87847;48.083036, 1.87847
23102;LE JAURES;Languedoc-Roussillon;Occitanie;RUE JEAN JAURES;66008;Argelès-sur-Mer;10383;66;66401;Saint-Cyprien;53068;05-Unités urbaines de 20 000 à 100 000 hbts;1;234;29;498;6423;4580;0,402401747;De 5 à 10 000 entrées;CINEMAGINAIRE;CINEMAGINAIRE;OUI;D;;FIXE;NON;C;116;82;14;21,79397337;76,31394534;0;1,892081289;55;100;42.547269;3.023455;42.547269, 3.023455
84556;Clap Ciné;Languedoc-Roussillon;Occitanie;COLLINE DES LOISIRS;66037;Canet-en-Roussillon;11965;66;66301;Canet-en-Roussillon;11965;06-autres communes et unités urbaines;3;299;30;2125;21969;4515;3,865780731;De 20 à 30 000 entrées;L'YRE CANET;;NON;NON;;FIXE;NON;I;156;106;56;62,37824675;34,375;2,637987013;0,608766234;70;24,83766234;42.701936;3.019408;42.701936, 3.019408
68046;MEGA CGR;Centre;Centre - Val-de-Loire;ZAC DU PRADO;18033;Bourges;66071;18;18501;Bourges;82558;05-Unités urbaines de 20 000 à 100 000 hbts;12;2510;31;12153;134798;321585;-0,580832439;De 100 à 150 000 entrées;SOCIETE CINEMATOGRAPHIQUE DU BERRY;SARL LES FILMS DE LA ROCHELLE;NON;NON;;FIXE;OUI;C;165;119;117;81,23158515;16,543901;2,224513848;0;33;20,25633471;47.082905;2.387262;47.082905, 2.387262
