numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;numCinema;geolocalisation;;;numCommune;nomCommune;populationCommune;numDepartement;numUniteUrbaine;nomUniteUrbaine;populationUniteUrbaine;situationGeographique;;;;;AE;categorieAE;labelAE;;;zoneCommune;nbFilmsProgrammes;nbFilmsInedits;nbFilmsSemaine1;PdMentreesFilmsFR;PdMentreesFilmsUSA;PdMentreesFilmsEUR;PdMentreesFilmsAutres;nbFilmsAE;PdMentreesFilmsAE;latitude;longitude
82762;ROCAMADOUR;RUE DU ROZ;CINES DU BOUT DU MONDE;SAS CINE DIFFUSION;FIXE;NON;82762;48.27416, -4.599116;;;29022;Camaret-sur-Mer;2583;29;29104;Camaret-sur-Mer;2583;06-autres communes et unités urbaines;;;;;OUI;E;;;;I;112;89;19;63,12910284;22,34682713;8,698030635;5,826039387;47;55,6345733;48.27416;-4.599116
85902;ETOILE;11 RUE DUQUESNE;ASSOCIATION ETOILE CINE;SAS CINE DIFFUSION;FIXE;NON;85902;48.667568, -3.912861;;;29023;Carantec;3149;29;29124;Carantec;4470;06-autres communes et unités urbaines;;;;;OUI;E;JPPR;;;C;109;76;1;61,28049824;31,41703453;4,787325052;2,515142183;68;15,24484139;48.667568;-3.912861
14102;CGR ALBI LAPEROUSE;60 RUE SERE DE RIVIERES;PLOUHEL;SARL LES FILMS DE LA ROCHELLE;FIXE;NON;14102;43.92676, 2.149209;;;81004;Albi;49475;81;81502;Albi;74751;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;OUI;D;RDJPPR;;;C;117;78;55;48,19661074;38,10134053;12,58297502;1,119073715;95;36,06947138;43.92676;2.149209
86544;CLAP CINE;3 AVENUE JEAN JAURES;L YRE CINEMAS;;FIXE;NON;86544;44.049028, 2.157496;;;81060;Carmaux;9460;81;81304;Carmaux;16697;06-autres communes et unités urbaines;;;;;OUI;E;RDJPPR;;;C;157;100;48;54,04241804;38,28034019;5,521050217;2,156191552;67;23,62282528;44.049028;2.157496
30891;TI HANOK;8 RUE DU LEVENANT;SARL G K L B;SARL MICROMEGAS DIFFUSION CINEMATOGRAPHIQUE;FIXE;NON;30891;47.669814, -2.985582;;;56007;Auray;13746;56;56401;Auray;28513;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;OUI;D;JP;;;C;201;115;66;54,73899344;28,60427489;11,65375117;5,002980499;97;50,05109427;47.669814;-2.985582
17325;CINE SAINT LEU;5-9 RUE DE LA PLUMETTE;ASS JOURNEES CINE AMIENS CONTRE RACISME;;FIXE;NON;17325;49.896685, 2.302146;;;80021;Amiens;132874;80;80601;Amiens;162637;04-Unités urbaines de 100 000 hbts ou plus;;;;;OUI;B;RDJPPR;;;C;91;48;20;52,85165485;37,54432624;5,067966903;4,536052009;79;38,85933806;49.896685;2.302146
19325;MONCINE;AVENUE DES BARTHES;MULTICINES PYRENEES SARL;SARL MULTICINES PYRENNEENS (Xavier-Menou);FIXE;NON;19325;43.483711, -1.508634;;;64024;Anglet;38724;64;751;Bayonne (partie française);236730;04-Unités urbaines de 100 000 hbts ou plus;;;;;NON;NON;;;;C;118;90;85;60,89517079;39,10482921;0;0;24;100;43.483711;-1.508634
57473;STUDIO REPUBLIQUE;42 RUE DE LA REPUBLIQUE;GIRAUDET COSSET ANNIE;;FIXE;NON;57473;46.631877, 1.067624;;;36018;Le Blanc;6572;36;36201;Le Blanc;6572;06-autres communes et unités urbaines;;;;;OUI;E;RDJPPR;;;I;91;73;8;53,82933964;27,29678204;10,77145581;8,102422509;43;57,42859021;46.631877;1.067624
80572;CENTRE CULTUREL;RUE DES PONTS;CINE-OFF;;FIXE;NON;80572;46.888094, 1.419282;;;36031;Buzançais;4473;36;36109;Buzançais;4473;06-autres communes et unités urbaines;;;;;OUI;E;;;;I;73;51;0;35,62384994;53,36848755;8,134904287;2,872758232;43;12,81480871;46.888094;1.419282
19464;CITE INTERN DE LA BANDE DESSINEE ET DE L'IMAGE;121 ROUTE DE BORDEAUX;CITE INTERNATIONALE DE LA BANDE DESSINEE ET DE L IMAGE;;FIXE;NON;19464;45.653155, 0.150537;;;16015;Angoulême;42081;16;16601;Angoulême;109054;04-Unités urbaines de 100 000 hbts ou plus;;;;;OUI;C;RDJPPR;;;C;142;75;50;54,89124518;34,26810947;8,140826058;2,699819286;122;35,93154652;45.653155;0.150537
