numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune
290044;PATHE MASSENA;31 AVENUE JEAN MEDECIN;PATHE NICE;LES CINEMAS GAUMONT PATHE;FIXE;NON;43.702059, 7.266941;Provence-Alpes-Côte-d'Azur;6;6088
291144;MEGA CGR;PLACE DE LA BRECHE;HELLUCHA;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;46.337524, -0.481854;Nouvelle Aquitaine;79;79191
293630;COMPLEXE CULTUREL OESIA;ROND-POINT DE LA CHASSETIERE;CINE-OFF;;FIXE;NON;47.448213, 0.694335;Centre - Val-de-Loire;37;37172
297871;FORUM;RUE DU PARLEMENT;CINE FORUM;SARL CINEPROFILMS;FIXE;NON;44.137785, 4.809487;Provence-Alpes-Côte-d'Azur;84;84087
298831;LES CARMES;7 RUE DES CARMES;EDEN CARMES;;FIXE;NON;47.901533, 1.900955;Centre - Val-de-Loire;45;45234
298834;PATHE ORLEANS;2 RUE DES HALLES;MARTROI;LES CINEMAS GAUMONT PATHE;FIXE;OUI;47.89856839999999, 1.9088173000000097;Centre - Val-de-Loire;45;45234
299572;CINEMA JACQUES TATI;14 AVENUE SAINT LAURENT;ASSOCIATION MJC MAISON DES JEUNES ET DE LA CULTURE D' ORSAY;SARL MICROMEGAS DIFFUSION CINEMATOGRAPHIQUE;FIXE;NON;48.698781, 2.189727;Ile-de-France;91;91471
302933;REX;19 RUE TAILLANCIER;TOILES DU TEMPS;;FIXE;NON;43.116608, 1.612993;Occitanie;9;9225
305014;LE MELIES;6 RUE BARGOIN;ASSOCIATION CINE MA PASSION;;FIXE;NON;43.301543, -0.372504;Nouvelle Aquitaine;64;64445
305041;MEGA CGR;PLACE DU 7EME ART;LUMONPAU;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;43.302981, -0.369831;Nouvelle Aquitaine;64;64445
305632;REX;6 AVENUE JULLES FERRY;BERNARD JACQUES ANDRE JEAN;;FIXE;NON;45.371031, 4.797096;Auvergne - Rhône-Alpes;38;38298
309331;LE CLUB;PLACE DU CHAMP DE FOIRE;LA ZINZEN;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.813639, 1.772698;Nouvelle Aquitaine;87;87117
310106;LE CLUB;LOBAU;ANIMATION SUR LA PLACE;;FIXE;NON;48.768553, 7.258661;Grand-Est;57;57540
310180;MEGARAMA PIAN MEDOC;ROUTE DE PAUILLAC;CS MULTIMEDIA;SAS AGORA CINEMAS;FIXE;NON;44.952219, -0.629792;Nouvelle Aquitaine;33;33322
310542;MAISON DU PEUPLE;PLACE JEAN JAURES;VILLE DE PIERRE BENITE;;FIXE;NON;45.703741, 4.823295;Auvergne - Rhône-Alpes;69;69152
314451;ESPACE PAUL VALERY;72 ET 74 AVENUE ARDOUIN;RENCONTRES ANIMATIONS PLESSEENNES;;FIXE;NON;48.80535, 2.578145;Ile-de-France;94;94059
315312;IMAGES;RUE DE SALTASH;ASSOCIATION IMAGES;SAS CINE DIFFUSION;FIXE;NON;48.373269, -4.370987;Bretagne;29;29189
317442;TRIANON;1 RUE DE L ABREUVOIR;ESPACE TRIANON;SARL GPCI;FIXE;NON;49.776307, 1.980512;Hauts-de-France;80;80630
319161;LE DIAMANT;6, RUE ALEXANDRE DUMAS;LE DIAMANT;SARL MC4 DISTRIBUTION;FIXE;NON;45.53638, 5.670755;Auvergne - Rhône-Alpes;38;38315
320311;REX;ZONE DE NIEL;CINEGYR PONTIVY;CINERGYR-CARNAC;FIXE;NON;48.068322, -2.948573;Bretagne;56;56178
324731;ATLANTIQUE;7 GRANDE RUE;ASSOCIATION SAINT ETIENNE CINEMA;SUD CINE;FIXE;NON;47.12792959999999, -2.215288200000032;Pays de la Loire;44;44136
326263;THEATRE DE PROPRIANO;PARC DES SPORTS SAN GUISEPPE;THEATRE DE PROPRIANO VITA E CULTURA;SARL MC4 DISTRIBUTION;FIXE;NON;41.671492, 8.91212;Corse;2A;2A249
326550;LE REXY;QUARTIER DELORT;APP;UGC DIFFUSION;FIXE;NON;48.559158, 3.304398;Ile-de-France;77;77379
326741;EXCELSIOR;ABBAZIA;BOUIS ANGELE JEANNE (NÉE DELFINO);;FIXE;NON;42.003231, 9.362695;Corse;2B;2B251
327092;SALLE POLYVALENTE;SALLE POLYVALENTE;LE CINEMA DU SOLEIL;SNC SAGEC - CINE 32 VEO;ITINERANT;NON;43.288803, 6.130491;Provence-Alpes-Côte-d'Azur;83;83100
327945;UGC CINE CITE LA DEFENSE;LE DOME;UGC CINE CITE;UGC DIFFUSION;FIXE;OUI;48.876233, 2.242749;Ile-de-France;92;92062
327961;LE CENTRAL;134 RUE DE LA REPUBLIQUE;COMMUNE DE PUTEAUX;UGC DIFFUSION;FIXE;NON;48.885137, 2.239127;Ile-de-France;92;92062
328244;CINE DYKE;PLACE MICHELET;CINE DYKE;;FIXE;NON;45.040387, 3.886089;Auvergne - Rhône-Alpes;43;43157
333683;LA CASTINE;12 RUE DU GENERAL KOENIG;ASSOCIATION CULTURELLE DE REICHSHOFFEN;;FIXE;NON;48.931499, 7.660695;Grand-Est;67;67388
333751;MAISON POUR TOUS;MAISON POUR TOUS;CINEBUS;;ITINERANT;NON;46.153096, 6.238556;Auvergne - Rhône-Alpes;74;74220
334606;MAJESTIC LE FRANCE;Eco Quartier La Filature;ECRANS DU GRAND EST;;FIXE;NON;48.012165, 6.601788;Grand-Est;88;88383
335054;ARVOR;29 RUE D'ANTRAIN;ASSOCIATION ARVOR CINEMA ET CULTURE;SAS CINE DIFFUSION;FIXE;NON;48.11601, -1.67887;Bretagne;35;35238
335303;REX;PLACE DE LA LIBERATION;ASSOCIATION ECRAN REOLAIS;SAINT LOUIS;FIXE;NON;44.582404, -0.036426;Nouvelle Aquitaine;33;33352
338902;CINE RELAIS - LA PASSERELLE;RUE DES LOISIRS;ASSO CENTRE SOCIO CULTUREL LA PASSERELLE;;FIXE;NON;47.750793, 7.411718;Grand-Est;68;68278
343321;STE BARBE;14 BIS RUE YANN D ARGENT;CINEMA SAINTE BARBE;SAS CINE DIFFUSION;FIXE;NON;48.724745, -3.984009;Bretagne;29;29239
345421;SALLE POLYVALENTE;SALLE POLYVALENTE;ASSOCIATION POUR LE DEVELOPPEMENT AUDIOVISUEL EN MILIEU RURAL;;ITINERANT;NON;43.839788, 6.151962;Provence-Alpes-Côte-d'Azur;4;4172
346502;LIDO;65 FRONT DE MER;CINÉMA & LOISIRS;;FIXE;NON;45.62416, -1.025656;Nouvelle Aquitaine;17;17306
