geolocalisation;latitude;longitude
43.48939, 2.758039;43.48939;2.758039
45.694405, 4.936379;45.694405;4.936379
45.24015, 4.233176;45.24015;4.233176
43.240399, 0.079601;43.240399;0.079601
43.536908, -1.461264;43.536908;-1.461264
49.254024, 3.962365;49.254024;3.962365
49.357979, 6.167955;49.357979;6.167955
46.352812, 6.468439;46.352812;6.468439
48.840592, 2.654959;48.840592;2.654959
42.666461, 2.836131;42.666461;2.836131
43.642205, 1.45598;43.642205;1.45598
47.394391, 0.697155;47.394391;0.697155
47.366664, 0.706536;47.366664;0.706536
43.447455, 5.684694;43.447455;5.684694
43.654225, 1.491185;43.654225;1.491185
44.369873, 6.605179;44.369873;6.605179
43.619739, 7.039277;43.619739;7.039277
44.933197, 4.901186;44.933197;4.901186
47.162517, -1.264107;47.162517;-1.264107
44.402406, 4.132968;44.402406;4.132968
48.527795, 2.689584;48.527795;2.689584
43.851122, 1.234903;43.851122;1.234903
48.736789, 0.930047;48.736789;0.930047
49.091924, 1.487671;49.091924;1.487671
48.807883, 2.130901;48.807883;2.130901
48.893988, 2.134326;48.893988;2.134326
43.78629, -1.402582;43.78629;-1.402582
45.070607, 5.549868;45.070607;5.549868
48.727309, 4.586264;48.727309;4.586264
45.07319, 5.771446;45.07319;5.771446
45.296452, 5.636354;45.296452;5.636354
47.476235, -2.158292;47.476235;-2.158292
48.918237, 7.370931;48.918237;7.370931
49.036084, 7.946947;49.036084;7.946947
47.822671, 7.337178;47.822671;7.337178
48.714932, 2.489765;48.714932;2.489765
41.687469, 9.365073;41.687469;9.365073
48.930677, 2.320895;48.930677;2.320895
45.94045500000001, 4.77174500000001;45.94045500000001;4.77174500000001
43.450397, 4.427827;43.450397;4.427827
43.795535, 1.6077;43.795535;1.6077
45.817369, 4.183976;45.817369;4.183976
45.182643, 5.723905;45.182643;5.723905
50.273088, 3.97037;50.273088;3.97037
47.189868, -1.4869;47.189868;-1.4869
43.980769, 4.874683;43.980769;4.874683
43.42402, 6.769447;43.42402;6.769447
43.137099, 6.003711;43.137099;6.003711
43.690447, 1.403453;43.690447;1.403453
48.994228, 2.194982;48.994228;2.194982
47.416279, 0.702126;47.416279;0.702126
48.78103, 2.189542;48.781030;2.189542
44.456197, 1.450773;44.456197;1.450773
48.872265, 2.300938;48.872265;2.300938
48.870632, 2.334338;48.870632;2.334338
48.851619, 2.347076;48.851619;2.347076
48.842318, 2.328975;48.842318;2.328975
48.842443, 2.327625;48.842443;2.327625
48.858689, 2.353591;48.858689;2.353591
48.886142, 2.335342;48.886142;2.335342
48.851278, 2.330648;48.851278;2.330648
48.850764, 2.341747;48.850764;2.341747
48.848384, 2.348973;48.848384;2.348973
48.842733, 2.342044;48.842733;2.342044
