numCommune;nomCommune;populationCommune;situationGeographique;zoneCommune;numDepartement;nouvelleRegion;numUniteUrbaine
26113;Die;4576;06-autres communes et unités urbaines;I;26;Auvergne - Rhône-Alpes;26110
4070;Digne-les-Bains;16246;06-autres communes et unités urbaines;C;4;Provence-Alpes-Côte-d'Azur;4301
21231;Dijon;155114;04-Unités urbaines de 100 000 hbts ou plus;C;21;Bourgogne - Franche-Comté;21701
60200;Domfront;307;04-Unités urbaines de 100 000 hbts ou plus;R;60;Hauts-de-France;0
95199;Domont;15343;03-Petite couronne;B;95;Ile-de-France;851
80253;Doullens;6321;06-autres communes et unités urbaines;C;80;Hauts-de-France;80204
14228;Douvres-la-Délivrande;5190;06-autres communes et unités urbaines;C;14;Normandie;14302
93029;Drancy;69568;02-Grande Couronne;B;93;Ile-de-France;851
28134;Dreux;30836;05-Unités urbaines de 20 000 à 100 000 hbts;C;28;Centre - Val-de-Loire;28401
30106;Durfort-et-Saint-Martin-de-Sossenac;689;04-Unités urbaines de 100 000 hbts ou plus;R;30;Occitanie;0
66065;Elne;8659;05-Unités urbaines de 20 000 à 100 000 hbts;C;66;Occitanie;66401
88160;Épinal;31938;05-Unités urbaines de 20 000 à 100 000 hbts;C;88;Grand-Est;88501
93031;Épinay-sur-Seine;54840;02-Grande Couronne;B;93;Ile-de-France;851
12096;Espalion;4545;06-autres communes et unités urbaines;C;12;Occitanie;12201
91223;Étampes;24271;03-Petite couronne;C;91;Ile-de-France;91401
91228;Évry;53871;03-Petite couronne;B;91;Ile-de-France;851
87064;Eymoutiers;2055;04-Unités urbaines de 100 000 hbts ou plus;R;87;Nouvelle Aquitaine;0
33162;Eysines;22864;04-Unités urbaines de 100 000 hbts ou plus;B;33;Nouvelle Aquitaine;33701
56057;Le Faouët;2815;06-autres communes et unités urbaines;I;56;Bretagne;56109
83055;Fayence;5670;06-autres communes et unités urbaines;C;83;Provence-Alpes-Côte-d'Azur;83301
2307;La Ferté-Milon;2123;06-autres communes et unités urbaines;I;2;Hauts-de-France;2107
42095;Firminy;16839;04-Unités urbaines de 100 000 hbts ou plus;B;42;Auvergne - Rhône-Alpes;753
83057;Flassans-sur-Issole;3485;06-autres communes et unités urbaines;I;83;Provence-Alpes-Côte-d'Azur;83108
77186;Fontainebleau;14974;03-Petite couronne;C;77;Ile-de-France;77406
57240;Freyming-Merlebach;13059;05-Unités urbaines de 20 000 à 100 000 hbts;C;57;Grand-Est;57501
93032;Gagny;39603;02-Grande Couronne;B;93;Ile-de-France;851
81099;Gaillac;15423;06-autres communes et unités urbaines;C;81;Occitanie;81303
34111;Ganges;3950;06-autres communes et unités urbaines;C;34;Occitanie;34209
5061;Gap;40776;05-Unités urbaines de 20 000 à 100 000 hbts;C;5;Provence-Alpes-Côte-d'Azur;5401
16146;Garat;1999;04-Unités urbaines de 100 000 hbts ou plus;R;16;Nouvelle Aquitaine;0
92033;Garches;17762;02-Grande Couronne;B;92;Ile-de-France;851
13041;Gardanne;19749;04-Unités urbaines de 100 000 hbts ou plus;B;13;Provence-Alpes-Côte-d'Azur;759
88196;Gérardmer;8294;06-autres communes et unités urbaines;C;88;Grand-Est;88301
74134;Les Gets;1251;04-Unités urbaines de 100 000 hbts ou plus;R;74;Auvergne - Rhône-Alpes;0
1173;Gex;11687;06-autres communes et unités urbaines;C;1;Auvergne - Rhône-Alpes;1301
8190;Givet;6699;06-autres communes et unités urbaines;C;8;Grand-Est;8206
