numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune;nomCommune
45877;CGR BEAUVAIS;16 RUE CORReUS;BEAUVAIS CINEMA COMMUNICATION;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;49.426913, 2.091861;Hauts-de-France;60;60057;Beauvais
46862;LE FESTIVAL;151 BD ALBERT 1ER;FLIP BOOK;;FIXE;NON;44.813225, -0.563936;Nouvelle Aquitaine;33;33039;Begles
49522;REX;6, RUE CLEMENCEAU;COMMUNAUTE DE COMMUNES BENFELD ET ENVIRONS;;FIXE;NON;48.369448, 7.595426;Grand-Est;67;67028;Benfeld
50033;CINOS;442, RUE DE L'IMPeRATRICE;CINOS;;FIXE;NON;50.408345, 1.593105;Hauts-de-France;62;62108;Berck
50833;REX;33 RUE LOBROT;SOCIETE NORMANDE D EXPLOITATION INDUSTRIELLE ET COMMERCIALE;SARL GPCI;FIXE;NON;49.090933, 0.602729;Normandie;27;27056;Bernay
53122;ETOILE BETHUNE;379, avenue de Lens;ETOILE CINEMAS DEVELOPPEMENT;;FIXE;OUI;50.521692, 2.641202;Hauts-de-France;62;62119;Bethune
58735;LES LOBIS;12 AVENUE MAUNOURY;CINECAP;CAP'CINEMA;FIXE;NON;47.590803, 1.335364;Centre - Val-de-Loire;41;41018;Blois
58773;CAP' CINE;RUE DES ONZE ARPENTS;CINECAP;CAP'CINEMA;FIXE;OUI;47.612706, 1.336917;Centre - Val-de-Loire;41;41018;Blois
59033;AUDITORIUM BOURSE TRAVAIL;11 RUE DU 8 MAI 1945;EST ENSEMBLE;;ITINERANT;NON;48.90951, 2.436542;Ile-de-France;93;93008;Bobigny
61132;LE CLAP;PLACE DE LA MAIRIE;ASSOCIATION CINEBOL;SARL MC4 DISTRIBUTION;FIXE;NON;43.974273, 7.312365;Provence-Alpes-Cote-d'Azur;84;84019;Bollene
67734;FOYER;PLACE DES NOYERS;ASSOCIATION DU CINEMA LE FOYER;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.295097, 4.558306;Auvergne - Rhone-Alpes;42;42023;Bourg-Argental
68212;AUDITORIUM DU CONSERVATOIRE;11 BD CARNOT;LES GEMEAUX SCENE NATIONALE;;FIXE;NON;48.778884, 2.317531;Ile-de-France;92;92014;Bourg-la-Reine
68561;FAMILIA;MAIL ORYE;AMICALE DES ANCIENS ELEVES ECOLE LAIQUE;SOGECI;FIXE;NON;47.28271, 0.171969;Centre - Val-de-Loire;37;37031;Bourgueil
68562;ABBAYE DE BOURGUEIL;AVENUE ARTHUR-LE-JOUTEUX;ASSOCIATION DE L'ABBAYE DE BOURGUEIL;;FIXE;NON;47.281285, 0.171088;Centre - Val-de-Loire;37;37031;Bourgueil
71942;LA BOBINE;30 RUE DE LA PETITE MOTTE;LE CINEMA LA BOBINE;SAS CINE DIFFUSION;FIXE;NON;48.0505921, -1.8653428000000076;Bretagne;35;35037;Breal-sous-Montfort
73099;LES STUDIOS;136 RUE JEAN JAURES;LES FEUX DE LA RAMPE;SAS CINE DIFFUSION;FIXE;NON;48.396163, -4.477034;Bretagne;29;29019;Brest
73371;LE FIEF;RUE DU FIEF;ASSOCIATION CINEMA LE FIEF CAFE;SUD CINE;FIXE;NON;46.629207, -1.852443;Pays de la Loire;85;85035;Bretignolles-sur-Mer
73582;NORMANDY;PLACE DE LA MAIRIE;LIGUE DE L' ENSEIGNEMENT DE BASSE-NORMANDIE;GENERIQUE;FIXE;NON;49.044986, -0.326254;Normandie;14;14100;Bretteville-sur-Laize
77351;PATHE;6 RUE DES FRERES LUMIERE;PATHE BRUMATH;LES CINEMAS GAUMONT PATHE;FIXE;OUI;48.744007, 7.692978;Grand-Est;67;67067;Brumath
77733;CINEVILLE;15 AVENUE DE CEZAMBRE;CINEVILLE;SAS CINE DIFFUSION;FIXE;NON;48.02898, -1.75349;Bretagne;35;35047;Bruz
78505;reg'Art;PLACE DU 19 MARS 1962;REGAIN;SARL MC4 DISTRIBUTION;FIXE;NON;44.275689, 5.27174;Auvergne - Rhone-Alpes;26;26063;Buis-les-Baronnies
80391;MEGA CGR;AVENUE DES FRERES LUMIERE;BUXEMOND;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;46.610272, 0.367025;Nouvelle Aquitaine;86;86041;Buxerolles
